Wall time,Step,Value
1735317178.6203544,60000,-0.0005459785461425781
1735317207.0801852,120000,-0.014795049093663692
1735317235.3341243,180000,0.008004188537597656
1735317263.8661942,240000,0.0051054637879133224
1735317292.6334562,300000,0.02143615111708641
1735317321.5186365,360000,7.120767986634746e-05
1735317350.3892555,420000,0.025243980810046196
1735317379.4158342,480000,0.014938322827219963
1735317407.8982272,540000,0.0029288609512150288
1735317436.3623586,600000,-0.0010750293731689453
1735317465.027766,660000,0.01760396920144558
1735317493.745042,720000,0.0061393738724291325
1735317521.8546999,780000,-0.004234282299876213
1735317549.834951,840000,-0.0072113992646336555
1735317577.9079266,900000,0.03787064552307129
1735317606.0104296,960000,0.02802804298698902
1735317634.1331918,1020000,0.02180555649101734
1735317662.2445083,1080000,0.006181398872286081
1735317690.409903,1140000,0.035738468170166016
1735317718.2723114,1200000,0.019548511132597923
1735317746.7595112,1260000,0.02032012864947319
1735317775.3569548,1320000,0.03953076899051666
1735317803.173202,1380000,0.02824045903980732
1735317831.2059135,1440000,0.0015833377838134766
1735317859.1040661,1500000,0.020365620031952858
1735317887.234356,1560000,0.030494991689920425
1735317915.2061098,1620000,0.05412982404232025
1735317943.3157592,1680000,0.010936577804386616
1735317971.1704555,1740000,0.031002935022115707
1735317999.0948992,1800000,0.04026734083890915
1735318026.977469,1860000,0.042122140526771545
1735318055.060373,1920000,0.03297341614961624
1735318083.1009092,1980000,0.013482030481100082
1735318111.2413373,2040000,0.004311275668442249
1735318139.362684,2100000,0.08594131469726562
1735318167.2927256,2160000,0.04549567028880119
1735318195.303381,2220000,0.02887999266386032
1735318223.1985242,2280000,0.05301082879304886
1735318253.9831553,2340229,0.03597549721598625
1735318282.1182673,2400229,0.04594910889863968
1735318310.2153172,2460229,0.06066195294260979
1735318338.5758364,2520229,0.06864222139120102
1735318366.8460207,2580229,0.08165788650512695
1735318394.9435754,2640229,0.13060465455055237
1735318422.8827653,2700229,0.12269126623868942
1735318451.057758,2760229,0.07187299430370331
1735318479.033937,2820229,0.06433264166116714
1735318507.2872388,2880229,0.0761876106262207
1735318535.4133484,2940229,0.0715564414858818
1735318563.5083392,3000229,0.14129604399204254
1735318591.5092285,3060229,0.050170086324214935
1735318620.070576,3120229,0.061215829104185104
1735318648.7919455,3180229,0.01606186293065548
1735318681.2835183,3240540,0.06259904056787491
1735318710.271591,3300540,0.004160833545029163
1735318739.2780013,3360540,0.46654170751571655
1735318768.3412719,3420540,0.1235179454088211
1735318797.1372476,3480540,0.1428569108247757
1735318826.2222633,3540540,0.07361038774251938
1735318855.7726896,3600540,0.11229453235864639
1735318886.476654,3660692,0.019398413598537445
1735318915.2201104,3720971,0.1435190886259079
1735318944.4970276,3780971,0.2675655782222748
1735318973.27919,3840971,0.16793343424797058
1735319002.7463174,3900971,0.2898004651069641
1735319035.5132759,3961719,0.24201929569244385
1735319064.5622203,4021835,0.16015473008155823
1735319093.7062418,4081835,0.1608313024044037
1735319122.9067435,4141835,0.17505158483982086
1735319157.0755124,4202227,0.15515166521072388
1735319186.2653909,4262227,0.1613752841949463
1735319215.319542,4322711,0.21829700469970703
1735319244.3412824,4382711,0.2598738968372345
1735319273.5425143,4443001,0.3448958098888397
1735319302.5769494,4503001,0.20866256952285767
1735319331.8966308,4563330,0.18411338329315186
1735319361.0742674,4623330,0.017435582354664803
1735319390.2053847,4683330,0.22998081147670746
1735319423.4751956,4743677,0.15691828727722168
1735319452.9365196,4803677,0.05393201485276222
1735319482.232242,4863957,0.42551928758621216
1735319511.76889,4923957,0.12109993398189545
1735319542.440587,4984783,0.24417024850845337
1735319571.4601152,5044783,0.1216021254658699
1735319600.9094863,5104904,0.27483466267585754
1735319629.8509386,5164904,0.12091775238513947
1735319662.8723056,5225664,0.7648125886917114
1735319691.9914556,5285664,0.19137929379940033
1735319721.273479,5345664,0.061216194182634354
1735319750.5026944,5406062,0.3153111934661865
