Wall time,Step,Value
1734797829.2201993,60000,0.007040850352495909
1734797853.2379405,120000,-0.009799608029425144
1734797877.1871185,180000,-0.01032435055822134
1734797901.5992973,240000,-0.005979013629257679
1734797926.067537,300000,-0.02181895636022091
1734797950.16384,360000,0.0036067008040845394
1734797974.2133248,420000,0.013006464578211308
1734797998.4136665,480000,-0.00878194160759449
1734798022.351825,540000,-0.00030431748018600047
1734798046.6707978,600000,0.012340163812041283
1734798070.933246,660000,0.01568927802145481
1734798094.9719946,720000,0.012058130465447903
1734798119.0512216,780000,0.023258844390511513
1734798143.110912,840000,-0.009395471774041653
1734798167.4335473,900000,0.023244475945830345
1734798191.507263,960000,0.015304263681173325
1734798215.7002451,1020000,0.011619504541158676
1734798239.7360907,1080000,0.029755020514130592
1734798263.9801452,1140000,0.03578875958919525
1734798288.0810888,1200000,0.0002552827063482255
1734798312.3071616,1260000,0.04330243915319443
1734798336.2995908,1320000,0.023474058136343956
1734798360.3475277,1380000,0.009135563857853413
1734798385.0263278,1440000,0.013669713400304317
1734798409.1536758,1500000,0.009566370397806168
1734798433.211677,1560000,-0.0020427703857421875
1734798457.2268226,1620000,0.011569785885512829
1734798481.306897,1680000,-0.008969021029770374
1734798505.2475467,1740000,0.010761451907455921
1734798529.583822,1800000,-0.005008792970329523
1734798553.428039,1860000,-0.001699256943538785
1734798577.545652,1920000,-0.015041859820485115
1734798601.5696864,1980000,0.0046004136092960835
1734798625.393328,2040000,0.029855187982320786
1734798649.6017902,2100000,0.0348065048456192
1734798673.580097,2160000,-0.012381871230900288
1734798697.580248,2220000,0.026161765679717064
1734798721.7663,2280000,-0.008585358038544655
1734798746.1286144,2340000,0.012635421939194202
1734798770.071227,2400000,0.025549523532390594
1734798794.297622,2460000,0.003408591030165553
1734798819.0646436,2520000,0.00576489744707942
1734798843.29229,2580000,0.0061018625274300575
1734798867.3824842,2640000,0.020471159368753433
1734798892.0728803,2700000,0.020468108355998993
1734798915.9856436,2760000,0.004719034768640995
1734798940.3102722,2820000,0.04285891726613045
1734798964.5243392,2880000,0.028897348791360855
1734798989.0569415,2940000,0.01697673834860325
1734799013.8379073,3000000,0.01562763936817646
1734799038.0910013,3060000,0.021974341943860054
1734799062.3384435,3120000,0.05268389359116554
1734799086.4432726,3180000,0.05066712573170662
1734799110.5470083,3240000,0.028201134875416756
1734799134.749517,3300000,0.0025645256973803043
1734799158.5926998,3360000,0.011609172448515892
1734799183.366267,3420000,0.07744477689266205
1734799207.6067812,3480000,0.012886015698313713
1734799231.7463174,3540000,0.16976919770240784
1734799257.9236162,3600170,0.07846168428659439
1734799282.1940248,3660170,0.11271562427282333
1734799306.1184704,3720170,0.06659393012523651
1734799330.1609426,3780170,0.07867946475744247
1734799354.561316,3840170,0.057215724140405655
1734799378.8505073,3900170,0.18077562749385834
1734799403.254691,3960170,0.04509137570858002
1734799427.4715397,4020170,0.09059932827949524
1734799451.893852,4080170,0.1727447211742401
1734799476.1209543,4140170,0.015370400622487068
1734799500.6474621,4200170,0.12721017003059387
1734799525.038901,4260170,0.20462395250797272
1734799549.5130272,4320170,0.278195321559906
1734799575.6468003,4380490,0.4316292107105255
1734799604.2854922,4441324,0.7781116962432861
1734799628.7669775,4501324,0.33222275972366333
1734799652.9810514,4561324,0.07370828092098236
1734799677.3889756,4621324,0.3341573178768158
1734799702.3938997,4681752,0.3111244738101959
1734799726.7121727,4741752,0.13137143850326538
1734799751.1535373,4801752,0.3760400414466858
1734799775.8024688,4861752,0.4946073889732361
1734799803.051021,4922181,0.6236028075218201
1734799827.521195,4982181,-0.012044207192957401
1734799853.9936068,5042377,0.6879292726516724
1734799878.7510097,5102377,0.5858477354049683
1734799903.2231781,5162377,0.10828280448913574
1734799929.8178413,5222578,0.14564524590969086
1734799957.9699233,5283056,0.7100537419319153
1734799982.5761476,5343056,0.5453575253486633
1734800007.0410502,5403056,0.4504958391189575
1734800032.1455574,5463152,0.9380095601081848
1734800056.6710258,5523303,0.8766490817070007
1734800081.1314352,5583525,0.2976835370063782
1734800105.6743608,5643659,0.7446747422218323
1734800130.2287881,5703659,0.3845965266227722
1734800154.8227408,5763659,0.3556478023529053
1734800179.4805605,5823659,1.0925333499908447
1734800204.2111547,5883659,0.5492724180221558
1734800228.7337341,5943659,0.8434141278266907
1734800252.9747863,6003659,0.29985395073890686
1734800277.473912,6063659,0.8823290467262268
1734800301.8041282,6123780,0.5585686564445496
1734800326.408178,6183780,0.7157047986984253
1734800350.8598413,6243780,1.9263715744018555
1734800375.6700978,6303878,1.0747438669204712
1734800399.9609075,6363878,1.2647427320480347
1734800424.3311398,6423878,0.6311519145965576
1734800448.8128521,6483985,1.080234408378601
1734800474.1403224,6544381,0.7776769995689392
1734800499.0641918,6604624,1.0433263778686523
1734800524.3691597,6664924,1.7053831815719604
1734800548.838706,6725253,1.0383306741714478
1734800573.3024354,6785253,0.8152801394462585
1734800597.8404772,6845253,0.5342778563499451
1734800622.458101,6905668,1.1140364408493042
1734800647.0967133,6965668,1.2517060041427612
1734800672.3878198,7025820,1.5272300243377686
1734800697.1108646,7086062,1.2908748388290405
1734800722.6337867,7146388,1.0161341428756714
1734800750.721579,7206573,0.9487923383712769
1734800777.692196,7267173,1.758346676826477
1734800804.4773405,7327683,0.9801763892173767
1734800829.1920094,7387988,1.2416380643844604
1734800853.6612816,7447988,2.583768367767334
1734800878.391997,7508264,1.3275058269500732
1734800903.0411713,7568451,0.7413333654403687
1734800927.5800714,7628872,1.7078311443328857
1734800952.2033694,7689575,1.9252490997314453
1734800978.795727,7749766,1.2649399042129517
1734801003.5545526,7810376,1.0291301012039185
1734801028.2597277,7870376,1.1234205961227417
1734801052.7614577,7930376,1.2611520290374756
1734801077.3828166,7990497,2.0912983417510986
1734801102.020729,8050953,1.0464621782302856
1734801126.8729928,8111114,1.7053033113479614
1734801151.7008295,8171114,1.3441662788391113
1734801176.3059666,8231906,2.1171634197235107
1734801201.1088586,8292235,1.3316527605056763
1734801225.7851453,8352364,2.085850715637207
1734801250.4747744,8412841,1.8171026706695557
1734801275.0355935,8472841,0.9142588376998901
1734801299.8312306,8532997,2.2002010345458984
1734801325.3366833,8593285,1.4973870515823364
1734801349.837975,8653530,1.5523663759231567
1734801374.3837485,8713772,1.5744869709014893
1734801399.4746873,8774266,1.201709508895874
1734801424.0783422,8834864,2.360747814178467
1734801448.6927183,8894923,1.9831243753433228
1734801473.4613361,8955626,1.4535315036773682
1734801498.2692232,9015895,2.1278762817382812
1734801522.950984,9076337,1.8658016920089722
1734801547.6473644,9136494,1.2695518732070923
1734801572.158998,9197398,3.129943609237671
1734801596.5560212,9257559,1.4499386548995972
1734801621.682993,9318211,1.4403443336486816
1734801646.5330606,9379201,2.63219952583313
1734801671.198933,9439341,2.746541976928711
1734801695.7764337,9499829,2.295100450515747
1734801720.5730264,9560581,2.3761258125305176
1734801745.5349271,9621361,2.8133203983306885
1734801770.2931442,9681361,2.077040672302246
1734801795.023478,9741748,2.294940233230591
1734801819.4760761,9802257,1.4955867528915405
1734801844.0999863,9862257,2.0012876987457275
1734801868.6226346,9923339,1.480470895767212
1734801893.5279183,9983803,1.6088281869888306
1734801918.571305,10044181,1.796204686164856
1734801943.3047712,10104785,2.0621607303619385
1734801967.9078925,10165479,1.8564074039459229
1734801993.2290385,10225784,1.4806311130523682
1734802018.1930676,10286745,2.013221502304077
1734802043.1427197,10346745,1.6989353895187378
1734802067.8791087,10406953,1.1987767219543457
1734802092.6125898,10467169,1.464853286743164
1734802118.411995,10527449,2.3043372631073
1734802143.028333,10588166,1.8032950162887573
1734802167.632469,10648224,0.7810812592506409
1734802192.3288236,10708726,2.340780258178711
1734802217.950189,10769206,1.648106575012207
1734802242.893379,10829644,1.9565922021865845
1734802267.4083714,10889644,1.4830001592636108
1734802292.0273108,10949644,1.9635714292526245
1734802316.5590684,11009924,1.9509233236312866
1734802341.1560094,11070687,1.6373721361160278
1734802367.0722704,11131112,1.7392617464065552
1734802392.1686177,11191363,1.3825538158416748
1734802416.6589608,11251903,1.8252469301223755
1734802441.6969361,11312939,2.726062536239624
1734802466.4474719,11373885,2.154005527496338
1734802491.0678248,11434280,2.013505458831787
1734802515.9173877,11494886,1.620222568511963
1734802541.3392894,11555426,2.6288199424743652
1734802566.1686468,11615426,1.707779049873352
