Wall time,Step,Value
1735308021.6434379,6984141,-1.3041038513183594
1735308053.437307,7045576,-6.050130844116211
1735308085.6756787,7106383,-0.9686737060546875
1735308117.4925609,7166567,-2.9557876586914062
1735308151.3448305,7227736,-3.4099693298339844
1735308183.3820639,7288567,-3.5620956420898438
1735308215.7138646,7349317,-5.572505950927734
1735308247.76478,7410358,-2.380828857421875
1735308280.4185765,7471119,-1.3822174072265625
1735308312.9690454,7531823,-7.162576675415039
1735308344.8597322,7592739,-1.9370498657226562
1735308377.098112,7653539,-6.091766357421875
1735308410.482536,7714997,-6.566078186035156
1735308442.6046026,7775874,-0.476318359375
1735308474.4083738,7836444,-6.460239410400391
1735308506.6262598,7897312,-2.012920379638672
1735308539.4051428,7958451,-1.39410400390625
1735308571.8777182,8018799,-1.9183845520019531
1735308603.987297,8079582,-1.0754623413085938
1735308637.2847302,8140807,-1.148681640625
1735308669.7257833,8201261,-4.2861328125
1735308702.2087362,8261858,-4.027040481567383
1735308735.2850986,8322756,-1.0045280456542969
1735308767.5403469,8383551,-1.794830322265625
1735308800.318734,8444424,-0.938232421875
1735308832.8280206,8505050,-5.920141220092773
1735308866.683866,8565647,-1.911346435546875
1735308899.6547816,8627055,-0.6876068115234375
1735308932.44981,8688114,-1.4200973510742188
1735308965.2078347,8748750,-1.779205322265625
1735308997.8692975,8809460,-0.9084243774414062
1735309030.7541783,8869629,-1.5849533081054688
1735309064.0966773,8930960,-0.5877838134765625
1735309097.2649121,8991868,-1.3511810302734375
1735309129.883498,9052114,-1.1904144287109375
1735309162.9580944,9113116,-1.4405975341796875
1735309195.6964746,9174458,-0.838958740234375
1735309228.6388202,9235503,-1.4573898315429688
1735309261.2518778,9296433,-0.6632766723632812
1735309294.6916003,9357606,-0.52252197265625
1735309327.2849221,9418673,-1.7069320678710938
1735309359.746189,9479770,-4.2849578857421875
1735309393.6988,9541553,-0.8646697998046875
1735309426.4468021,9602533,-1.2255172729492188
1735309459.5431437,9663209,-0.9272308349609375
1735309491.7689228,9724618,-0.7306137084960938
1735309524.0317008,9785601,-1.88824462890625
