Wall time,Step,Value
1735042448.5283875,4200000,0.074263252
1735042486.3306513,4260000,0.060917582362890244
1735042524.2174976,4320000,0.061043929
1735042562.476964,4380000,0.14684540033340454
1735042600.3118868,4440000,0.039667621
1735042638.9439912,4500000,0.019261550158262253
1735042676.952978,4560000,0.19959710538387299
1735042715,4620000,0.046699967
1735042752.1914012,4680000,0.10006995499134064
1735042789.7275488,4740000,0.1680946946144104
1735042828.0967038,4800000,0.29650622606277466
1735042866.0427096,4860000,0.4410227835178375
1735042904.8703353,4920000,0.16853009164333344
1735042943,4980000,0.10321366041898727
1735042981.409464,5040000,0.5542393326759338
1735043019.4093564,5100000,0.12310733646154404
1735043056.917269,5160000,0.788659394
1735043095.2655828,5220000,0.4725799858570099
1735043133.2333162,5280000,0.6340977549552917
1735043171.5239398,5340000,0.4024790823459625
1735043209.3043263,5400000,0.6019724607467651
1735043247.6545973,5460000,0.8139997720718384
1735043286.626493,5520000,0.595872164
1735043325.3440964,5580000,1.0746854543685913
1735043365.2644596,5640000,0.9628069400787354
1735043403.8182433,5700000,1.955100178718567
1735043441.9755468,5760000,1.0144084692001343
1735043479.8567848,5820000,2.3327274322509766
1735043518.6477115,5880000,1.5938944816589355
1735043558.4476805,5940161,1.858109712600708
1735043596.2892406,6000161,1.442903757095337
1735043634.3793373,6060161,1.9542585611343384
1735043672.7213829,6120161,3.798889636993408
1735043710.9606442,6180161,3.365753412246704
1735043749.5279946,6240161,3.1533563137054443
1735043787.2025166,6300161,4.263119697570801
1735043826.3864946,6360161,4.587442874908447
1735043869.5088205,6420574,4.175742149353027
1735043911.1671221,6481252,4.735093593597412
1735043950.9153466,6541469,4.166109561920166
1735043993.3212128,6602646,3.4837160110473633
1735044035.4663928,6663097,3.238973617553711
1735044075.2332883,6723736,4.779075622558594
1735044114.8613877,6784700,6.389776706695557
1735044153.491389,6845149,4.667133808135986
1735044192.9373045,6905727,4.053958892822266
1735044231.3275318,6965727,6.167282581329346
1735044270.069031,7026247,3.9004781246185303
1735044309.6254787,7086848,3.3440489768981934
1735044352.9140031,7147535,6.138276577
1735044393.1515539,7208528,4.127806663513184
1735044431.7750602,7268878,6.3634562492370605
1735044470.174999,7328968,6.256569862365723
1735044514.9523377,7390524,7.187254428863525
1735044553.1252851,7451697,5.089138031005859
1735044595.047691,7512309,7.710863113
1735044634.8419662,7572753,5.929641246795654
1735044674.9837103,7633262,4.932065010070801
1735044714.7701817,7693470,5.537027835845947
1735044754.9194643,7754572,8.206078529
1735044795.3420777,7814720,5.347319602966309
1735044835.143678,7874829,6.424121856689453
1735044875.128854,7935689,8.770594596862793
1735044916.094956,7996212,5.7578535079956055
1735044955.9076436,8056764,5.772064208984375
1735044995.070144,8116977,7.483659744262695
1735045035.939085,8177705,5.705508232116699
1735045076.965867,8238707,9.893048286437988
1735045116.5171428,8299230,6.349085807800293
1735045156.9910784,8360480,7.6489129066467285
1735045196.3656187,8421797,4.853887081
1735045238.3069844,8483291,6.5909833908081055
1735045278.1042428,8544101,7.799638748168945
1735045318.7142968,8605139,8.739624023
1735045360.8002262,8665643,7.995275497436523
1735045399.9751804,8726322,5.702153683
1735045439.5621934,8787035,9.866523742675781
1735045479.188423,8847634,6.676021575927734
1735045519.1345096,8908324,9.894451141357422
1735045558.639504,8968940,6.377573490142822
1735045598.198039,9029465,7.211360454559326
1735045638.4301066,9090453,8.201931
1735045678.6473742,9150853,10.674689292907715
1735045717.998469,9211546,9.231550216674805
1735045757.4883244,9272354,8.491608619689941
1735045796.6047158,9332537,6.336703777313232
1735045836.589683,9393542,8.323599815368652
1735045876.1728344,9454620,6.836996078491211
1735045915.6395793,9515730,7.8403520584106445
1735045956,9577040,6.799912929534912
1735045995.6062708,9638196,7.790974140167236
1735046036.1409998,9699415,7.834906101226807
1735046076.0727828,9760129,9.144655227661133
1735046116,9821289,8.802181243896484
1735046156.0926816,9882548,9.083310127
1735046195.7877238,9942727,7.227456092834473
1735046234.8028018,10003407,8.296945571899414
1735046273.9081838,10064138,8.314333916
1735046313,10125140,9.634160995483398
1735046353.9659278,10185547,6.636044025421143
1735046392.1270702,10246042,8.436430931091309
1735046433.308281,10306757,9.393697738647461
1735046475.093911,10367483,8.815681457519531
1735046515.3241622,10428681,8.179420471191406
1735046553.9643657,10489165,6.391780376434326
1735046592.0211802,10549776,9.322428703308105
1735046632.7631855,10611292,9.459857940673828
1735046671.2432854,10671740,7.784478187561035
1735046710.634423,10732011,7.092386245727539
1735046750.0054286,10792514,9.809254646
1735046789.930315,10853538,8.171338081359863
1735046828.7761526,10913975,8.160736083984375
1735046868.2094636,10974372,8.835002899169922
1735046907.2108889,11035694,10.09265422821045
1735046945.9758725,11096548,8.158222198486328
1735046986.4422374,11157905,9.619210243225098
1735047027.5415134,11218755,9.735042572021484
1735047067.6593463,11279498,9.533202171325684
1735047106.8843167,11339857,8.202574729919434
1735047145.9829445,11400697,8.947740555
1735047185.2952025,11461602,11.098133087158203
1735047225.2508094,11522890,11.572175979614258
1735047264.6659145,11583498,9.359523773
1735047303.6779716,11644621,7.530213832855225
1735047341.954326,11705005,10.665731430053711
1735047380.589671,11765856,8.930189133
1735047418.8999126,11826799,8.235585213
1735047457.6453898,11887028,10.108746528625488
1735047497.1003516,11947623,6.8710551261901855
1735047536.3284018,12008197,7.332610607147217
1735047574.9607434,12069424,6.499274730682373
1735047613.8064218,12130110,8.092373847961426
1735047652.2389932,12190900,11.904731750488281
1735047691.2277899,12251659,8.677118301391602
1735047730.4524446,12312463,9.534571647644043
1735047769.4410555,12373590,8.355383873
1735047808.3239903,12434303,5.715048789978027
1735047847.0696943,12495413,7.407047748565674
1735047885.7795868,12555736,9.080501556396484
1735047925.2411146,12616820,8.645973205566406
1735047964.0555224,12677176,6.451195240020752
1735048002.1611884,12737411,9.428563117980957
1735048042.1949103,12798192,8.517096519470215
1735048080.3938181,12858430,9.071699142456055
1735048118.7522442,12918731,7.554430008
1735048158.3267124,12979667,9.380870819091797
1735048196.919327,13040797,8.277752876281738
1735048236.0037878,13101639,10.016376495361328
1735048274.1916416,13162445,6.288723468780518
1735048312.434789,13222902,9.767759323120117
1735048351.082034,13283678,8.586270332336426
1735048390.764763,13344858,7.483297348022461
1735048430.0624373,13405796,10.674464225769043
1735048468.7650418,13466540,9.670157432556152
1735048507.5796497,13527886,9.916620254516602
1735048546.4611816,13589265,12.548808097839355
1735048586,13650201,11.71322250366211
